timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,sig_status,ft_posx,ft_posy,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw,ft_heading,adapted_center,instrip,mode,strip_thresh
03/22/2024-13:10:27.861362 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.0022608175392977103,0.0159638447956212,121,932.32142857143,-0.00016946510606636,-0.00027446091000816,3.3101480142954e-05,6.2821421777461,nan,False,live,nan
03/22/2024-13:10:27.895281 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.0013062029417428799,0.015104173274856601,123,833.34102787456,-0.00014310757196402,-0.00015925627289951,3.1223699475458e-05,6.2820797303471,nan,False,live,nan
03/22/2024-13:10:27.927941 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00226942249396635,0.015938768438102997,125,1083.9237804878,0.00041692296057572,-0.00044288379433886,0.00040638729912288,6.2820257370152,nan,False,live,nan
03/22/2024-13:10:27.962082 -- 800000,0.3,0.0,0.0,1.0,0.0,0,-0.0008415348514368901,0.016293033975827098,127,876.78919860627,7.5522311455766e-05,-0.00050858091359757,2.7523437606693e-05,6.2820047814635,nan,False,live,nan
03/22/2024-13:10:27.996407 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00244050996754008,0.0156699990408474,129,1032.7452090592,-0.000276541291799,0.00060712679859074,-1.2519187756556e-05,6.2820868938815,nan,False,live,nan
03/22/2024-13:10:28.029423 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00101296346018643,0.0156319457290455,131,910.0775261324,-1.8523784828412e-05,-0.00019461101157836,-0.00010811207681658,6.2823132132186,nan,False,live,nan
03/22/2024-13:10:28.062548 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00218503463617497,0.016096376380311597,133,990.2091503268,0.00023672880727786,0.00055057255233672,1.5756684340648e-05,6.2818817940527,nan,False,live,nan
03/22/2024-13:10:28.095324 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.0008577901303086899,0.0163506172258863,135,743.30662020906,5.1203279640113e-05,-0.0001842974385722,-0.00012198345890415,6.2821449268569,nan,False,live,nan
03/22/2024-13:10:28.129254 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00067625211518877,0.0151682373722649,137,950.10801393728,-0.00018396393290602,-3.8573527579309e-05,6.9985874349536e-05,6.2819836251823,nan,False,live,nan
03/22/2024-13:10:28.161441 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00145658586124383,0.0153823474267917,139,1042.7112369338,-0.00038968815315887,0.00031306418080079,-0.0001413910595561,6.2819310529378,nan,False,live,nan
03/22/2024-13:10:28.196405 -- 800000,0.3,0.0,0.0,1.0,0.0,0,-0.000258610785194274,0.0154298256827709,141,921.19468641115,1.1443531475218e-05,-0.00057853355772085,-0.00064478553968562,6.2824810538036,nan,False,live,nan
03/22/2024-13:10:28.227270 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00039563960262471,0.0150806186348997,143,985.13806620209,-0.00052152102088611,-0.00021245715763461,0.00020865758636145,6.2818297600383,nan,False,live,nan
03/22/2024-13:10:28.262329 -- 800000,0.3,0.0,0.0,1.0,0.0,0,-2.14906278896517e-05,0.015564981471494701,145,1025.9307491289,5.3778127321793e-05,-7.4064669596522e-05,-9.417510529127e-05,6.2820532297506,nan,False,live,nan
03/22/2024-13:10:28.296031 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.00083551124209923,0.016296549888551698,147,889.63893728223,0.00018706549165448,-0.00063478807846496,0.00032730083093974,6.281922067679,nan,False,live,nan
03/22/2024-13:10:28.329132 -- 800000,0.3,0.0,0.0,1.0,0.0,0,0.0018059559072470702,0.0146751077148639,149,1048.7587108014,-0.00071707719050936,-0.00018796312579186,-0.00037266983859289,6.2820316254144,nan,False,live,nan
