timestamp -- motor_step_command,mfc1_stpt,mfc2_stpt,mfc3_stpt,led1_stpt,led2_stpt,sig_status,ft_posx,ft_posy,ft_frame,ft_error,ft_roll,ft_pitch,ft_yaw,ft_heading,adapted_center,instrip,mode,strip_thresh
03/22/2024-11:42:50.987134 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.126901965509001,-6.09159609375816,125,7306.9782135076,0.036109402461822,0.019179469595571,-0.034254764853331,2.557266447473,nan,False,live,nan
03/22/2024-11:42:51.021522 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.121001747357301,-6.36945266858244,127,7380.5664488017,0.043486122722559,0.039568375418139,-0.0085958348769262,2.6028837305705,nan,False,live,nan
03/22/2024-11:42:51.052516 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.1211509757819016,-6.665258977628911,129,7427.005664488,0.034703486812553,-0.0079066830575691,0.0088143575031264,2.6053295761646,nan,False,live,nan
03/22/2024-11:42:51.086664 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0832197550991012,-6.621765842303461,131,6799.699912892,-0.00022631922011458,0.00044393305997362,0.028946551008,2.5711838257366,nan,False,live,nan
03/22/2024-11:42:51.119859 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.1014234367520004,-6.56139006820863,133,6759.3135888502,-0.013739697302461,-0.0060786933967191,0.014647044051942,2.53863447108,nan,False,live,nan
03/22/2024-11:42:51.154350 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0912581312777014,-6.55317966978552,135,6178.8057491289,-0.00095570623455432,0.0010709705349208,-0.00074985775618032,2.5300539719333,nan,False,live,nan
03/22/2024-11:42:51.187000 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0643886212268008,-6.5466201284157,137,6653.637630662,-0.0019675002226965,0.0029892164233837,0.0010107773375035,2.5276583568852,nan,False,live,nan
03/22/2024-11:42:51.220941 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0492638336369016,-6.53510552693766,139,6822.6851045296,-0.0032221963720725,-0.00053025664555391,0.0038062806971268,2.5222224500714,nan,False,live,nan
03/22/2024-11:42:51.255171 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0489680749484016,-6.48750816438105,141,6424.8170731707,-0.0043975399787568,0.0017501702243202,-0.0034949336526559,2.5237596065722,nan,False,live,nan
03/22/2024-11:42:51.284706 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0474982708931009,-6.484359224876281,143,6155.7443379791,-9.4093552732098e-05,-6.6525514326712e-05,-0.00028778624551568,2.5240598889826,nan,False,live,nan
03/22/2024-11:42:51.304268 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0508467570095004,-6.48588903944145,144,5976.9028745645,0.0010617860533931,-0.00061519518218303,-0.0008376660731938,2.5248975550558,nan,False,live,nan
03/22/2024-11:42:51.338175 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.052934218614201,-6.4667903206371005,146,5770.5496515679,-0.00057795036299893,-0.00063888351487148,0.0012966567089287,2.5280715397628,nan,False,live,nan
03/22/2024-11:42:51.370538 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0486129069374002,-6.46116158798073,148,5650.2243031359,-0.0017015475687311,0.002839687580022,-0.00048473116197627,2.5293777466239,nan,False,live,nan
03/22/2024-11:42:51.404004 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.042961747407201,-6.4634088182064,150,5446.7887630662,0.0011306447419903,-0.0003280012622981,0.00027343492199096,2.5296069345121,nan,False,live,nan
03/22/2024-11:42:51.436394 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0529563968945013,-6.46637149079025,152,5340.8911149826,-0.0014558609985944,0.00050336331980681,0.00044530311936497,2.5290262849041,nan,False,live,nan
03/22/2024-11:42:51.470904 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0557073982307017,-6.46800081842904,154,5381.7582752613,0.00092015692652784,0.00060154907624995,-0.00025649868449001,2.5288745857818,nan,False,live,nan
03/22/2024-11:42:51.502493 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0629678513600016,-6.462983093661871,156,5415.5505226481,5.5940204697545e-05,-0.0020660232332009,0.00026337099085959,2.528305259648,nan,False,live,nan
03/22/2024-11:42:51.536314 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0439268821649001,-6.462995483903191,158,5481.0100174216,-0.0017245328213074,0.002358875331155,-0.00050296733356191,2.5293962651562,nan,False,live,nan
03/22/2024-11:42:51.571480 -- 799700,0.02,0.0,0.0,1.0,0.0,0,1.0400578100790003,-6.45880890932169,160,5262.75,-0.00015949617227311,-0.002104829981225,-0.00032409819071095,2.5302233306805,nan,False,live,nan
